Result2,cond2,Result3,cond3,Result
FL,0,FL,0,FAIL
SC,1,SC,1,FAIL
FL,1,FL,0,FAIL
FCD,1,FC,1,FCD
FL,0,FL,0,SC
FC,1,FC,1,FC
FCD,1,FCD,1,FC
FCD,1,FCD,1,FCD
FC,1,SC,1,FC
FL,0,FC,1,FAIL
FCD,1,FCD,1,FCD
FCD,1,FC,1,FCD
FC,1,FL,0,FC
FCD,1,FC,1,FCD
FC,1,FC,1,SC
FL,0,FL,0,FAIL
FC,1,FC,1,FC
FCD,1,FC,1,FCD
FL,0,FL,0,FAIL
FC,1,FC,1,FC
FCD,1,FL,0,FAIL
FCD,1,FCD,1,FCD
FC,1,FL,0,FC
FC,1,FC,1,SC
FCD,1,FC,1,FC
FCD,1,FCD,1,FCD
FC,1,FL,0,FAIL
FL,0,FC,1,FC
FCD,1,FCD,1,FCD
FCD,1,FC,1,SC
SC,1,SC,1,SC
FL,0,SC,1,SC
FC,1,FL,0,FAIL
FCD,1,FC,1,FC
FL,0,FL,0,FAIL
FCD,1,FCD,1,FC
FC,1,FC,1,FC
FCD,1,FC,1,FCD
SC,1,FL,0,SC
FCD,1,FCD,1,FCD
FCD,1,FC,1,FC
SC,1,FL,0,FAIL
FCD,1,FCD,1,FCD
FCD,1,FCD,1,FCD
FCD,1,FCD,1,FC
FL,0,FL,0,FAIL
FCD,1,FC,1,FC
FCD,1,FCD,1,FCD
FL,0,FL,0,FAIL
FCD,1,FCD,1,FCD
FCD,1,FC,1,FCD
SC,1,FC,1,FC
FCD,1,FCD,1,FC
SC,1,SC,1,FC
SC,1,FL,0,FCD
FCD,1,FCD,1,FCD
FCD,1,FC,1,FC
FCD,1,FCD,1,FCD
FL,0,FL,0,FAIL
FCD,1,FC,1,FCD
FC,1,FC,1,FAIL
FCD,1,FCD,1,FAIL
FC,1,FL,0,FAIL
FC,1,FC,1,FAIL
